市場,資料日期,股票代號,股票名稱,symbol,收盤價,漲跌幅%,成交量張數,近20日均量張數,量增倍率,成交值百萬,異動分
上櫃,2026-06-08,5426,振發,5426.TWO,32.9,9.849749582637731,26128.421,13217.123555555554,1.9768613715514098,826.847483,109.23672659630367
上櫃,2026-06-08,8043,蜜望實,8043.TWO,175.0,9.717868338557993,57988.847,34671.229,1.6725350866564321,9467.053083,102.88643841024462
上櫃,2026-06-08,4939,亞電,4939.TWO,65.6,9.882747068676718,37566.543,24594.41322222222,1.5274421333238737,2300.404885,100.31433680383091
上櫃,2026-06-08,4931,新盛力,4931.TWO,266.5,9.896907216494846,26231.553,20053.88233333333,1.3080536009926724,6532.180627,95.95488645284314
上櫃,2026-06-08,4542,科嶠,4542.TWO,314.5,9.965034965034965,2955.303,2356.546555555555,1.2540821623204843,911.075033,95.01171317647962
上櫃,2026-06-08,6510,精測,6510.TWO,3565.0,8.030303030303031,1425.715,1141.3155555555556,1.249185637626754,4866.2182,91.04431881314115
上櫃,2026-06-08,5381,光譜,5381.TWO,34.0,9.8546042003231,12219.273,8159.951888888889,1.4974687555006962,397.962583,89.45484181066013
上櫃,2026-06-08,6788,華景電,6788.TWO,441.0,2.4390243902439024,3299.053,1925.482,1.7133647574996806,1435.139394,89.14534393048142
上櫃,2026-06-08,6175,立敦,6175.TWO,100.5,4.037267080745342,25778.53,16708.83222222222,1.5428085971032355,2507.796426,88.9307061035554
上櫃,2026-06-08,3093,港建*,3093.TWO,66.0,3.125,10055.481,6365.536111111111,1.5796754310211283,669.395816,87.84350862042257
上櫃,2026-06-08,6693,廣閎科,6693.TWO,165.0,4.430379746835443,3001.405,2016.0164444444445,1.4887800187696882,476.503715,86.28673136906465
上櫃,2026-06-08,3114,好德,3114.TWO,44.7,0.11198208286674133,11446.657,7383.494555555556,1.5503034388218249,520.663532,81.23003294216997
上櫃,2026-06-08,6270,倍微,6270.TWO,35.85,9.969325153374232,7844.062,4826.414777777778,1.6252357829079154,272.278556,79.67122156490677
上櫃,2026-06-08,6148,驊宏資,6148.TWO,38.5,10.0,7546.848,5210.964444444445,1.4482631920557252,283.041316,77.2693954411145
上櫃,2026-06-08,6127,九豪,6127.TWO,76.2,0.7936507936507936,52321.992,41682.81744444444,1.2552412530591444,3985.827886,76.69212664848446
上櫃,2026-06-08,5289,宜鼎,5289.TWO,1810.0,3.133903133903134,4314.963,4236.2444444444445,1.0185821561026276,7424.284065,76.63944938985881
上櫃,2026-06-08,3520,華盈,3520.TWO,18.75,9.970674486803519,8679.197,4286.158777777779,2.024935950809516,159.175351,76.35760308979737
上櫃,2026-06-08,3221,台嘉碩,3221.TWO,58.1,1.7513134851138354,14230.271,12553.505888888889,1.1335694686370614,797.666981,76.1740163429689
上櫃,2026-06-08,5530,龍巖,5530.TWO,49.6,-3.875968992248062,9123.235,5289.873444444445,1.7246603526179716,478.63725,74.60499406786332
上櫃,2026-06-08,3213,茂訊,3213.TWO,134.5,-3.237410071942446,4534.046,2941.181,1.5415732659771704,611.309258,74.35664517565851
上櫃,2026-06-08,5274,信驊,5274.TWO,17525.0,0.11425307055127107,397.734,333.9626666666666,1.190953479830081,6613.471205,74.04757573770416
上櫃,2026-06-08,5904,寶雅,5904.TWO,582.0,0.8665511265164645,720.422,479.56455555555556,1.5022419644116967,416.698181,73.44775964126686
上櫃,2026-06-08,6922,宸曜,6922.TWO,197.5,7.046070460704606,1404.646,933.6195555555555,1.5045164720914157,276.751702,71.85764056323752
上櫃,2026-06-08,7734,印能科技,7734.TWO,3025.0,-0.9819967266775778,168.791,153.46533333333335,1.0998640300958304,486.15647,68.64893414856145
上櫃,2026-06-08,3293,鈊象,3293.TWO,780.0,-1.2658227848101267,3741.045,3954.991666666667,0.9459046479238262,2880.167065,66.38644738885627
上櫃,2026-06-08,3357,臺慶科,3357.TWO,283.0,-4.391891891891892,11039.347,8902.157888888889,1.2400753994465337,3130.369095,66.01772420514688
上櫃,2026-06-08,3624,光頡,3624.TWO,102.5,-5.092592592592593,17639.527,13787.240777777777,1.2794095123392144,1813.73882,65.40300506159909
上櫃,2026-06-08,5439,高技,5439.TWO,353.0,-3.155006858710562,2162.68,2072.6956666666665,1.0434141561544572,728.506738,64.55826940566801
上櫃,2026-06-08,4772,台特化,4772.TWO,283.5,-4.705882352941177,1935.46,1634.1760000000002,1.1843644748178899,530.980335,64.27552479047546
上櫃,2026-06-08,5386,青雲,5386.TWO,505.0,-1.1741682974559686,1747.963,2169.326777777778,0.8057628836309226,834.102876,63.76692107770652
上櫃,2026-06-08,8932,智通*,8932.TWO,100.5,-1.4705882352941175,4123.397,3370.537888888889,1.2233646782589036,415.411062,63.06722329458984
上櫃,2026-06-08,5328,華容,5328.TWO,38.9,-4.422604422604423,31673.793,29459.34188888889,1.075169741383338,1229.309907,62.65818598245792
上櫃,2026-06-08,3693,營邦,3693.TWO,564.0,-0.8787346221441126,965.172,1387.0680000000002,0.695836108972307,513.085909,62.159252935157916
上櫃,2026-06-08,4749,新應材,4749.TWO,947.0,-6.6995073891625605,1905.87,1498.729111111111,1.2716574235266889,1789.697826,62.034133692208655
上櫃,2026-06-08,3680,家登,3680.TWO,501.0,-3.653846153846154,1787.462,1853.2644444444445,0.9644937641567012,862.42528,61.98218297544172
上櫃,2026-06-08,4760,勤凱,4760.TWO,400.0,-2.67639902676399,1759.84,2063.3594444444443,0.8529003537111943,678.064447,61.70520902069592
上櫃,2026-06-08,5202,力新,5202.TWO,17.3,9.841269841269842,5518.004,3379.4837777777775,1.6327949363995566,92.20726,61.55916441053081
上櫃,2026-06-08,4741,泓瀚,4741.TWO,69.1,9.856915739268683,2570.27,2051.8394444444443,1.2526662390467524,167.266607,61.49381695947242
上櫃,2026-06-08,6121,新普,6121.TWO,406.0,-3.9053254437869818,1499.103,1558.7113333333334,0.9617579393575976,604.426943,61.424507899577996
上櫃,2026-06-08,5347,世界,5347.TWO,156.5,-3.0959752321981426,32509.16,37489.61555555555,0.8671510635211754,4938.770001,61.15107080602722
上櫃,2026-06-08,3234,光環,3234.TWO,124.0,-0.8,4005.501,5238.2141111111105,0.7646692011889464,471.286945,60.82207852377893
上櫃,2026-06-08,6182,合晶,6182.TWO,80.0,-6.432748538011696,13536.893,11502.284666666666,1.1768873221534482,1062.18419,60.672249367045566
上櫃,2026-06-08,5309,系統電,5309.TWO,74.0,-0.4037685060565276,11369.544,20272.155111111108,0.5608453535247659,794.739849,60.409370058382265
上櫃,2026-06-08,3324,雙鴻,3324.TWO,1095.0,-1.3513513513513513,3434.311,5324.4475555555555,0.6450079494945203,3606.820905,60.197456287187705
上櫃,2026-06-08,6907,雅特力-KY,6907.TWO,152.5,-9.763313609467456,9169.471,6215.354222222221,1.4752933899110212,1529.95594,59.97924057928551
上櫃,2026-06-08,6223,旺矽,6223.TWO,5515.0,-4.336513443191674,1013.72,1125.782888888889,0.9004578147394909,5489.792245,59.33612940840647
上櫃,2026-06-08,6925,意藍,6925.TWO,79.5,4.330708661417323,2136.895,1294.3076666666666,1.650994624410528,171.408785,58.8221883110452
上櫃,2026-06-08,3362,先進光,3362.TWO,141.5,-4.391891891891892,4462.756,5078.230222222222,0.8788014337103267,614.259271,58.792244890422744
上櫃,2026-06-08,6274,台燿,6274.TWO,1535.0,-4.658385093167702,5933.577,6570.576555555555,0.9030527153637744,8837.87472,58.74428412094008
上櫃,2026-06-08,6488,環球晶,6488.TWO,768.0,-5.30209617755857,2322.781,2427.2211111111114,0.9569713238596125,1738.353651,58.5352341220751
